,lrzip,xz,z3,dconvert,batlik,kanzi,x264,h2,jump3r
W1,0.0248114510013058,0.3807081873630519,0.4880676067293554,0.4612790184700575,0.3190797277256986,0.2071678977198323,-0.0830887919986467,0.6371733019575566,0.4385319160603903
W2,0.1857709664320137,0.4596296513982301,0.5350460794578253,0.5241625120685884,0.2800089783645006,0.3275625186999686,-0.0151048587690847,0.6266640845202086,0.0667556362771055
W3,-0.036954090048758,-0.1983641319644129,0.5446410342682753,0.467652198039368,0.5204418702995793,0.1230868203030113,-0.0140273410917299,0.640522344448669,0.3630137725291651
W4,-0.0779142011464183,-0.0992914683095294,0.4916209170217195,0.5109592923184675,0.5503914787450347,0.1807364596983572,0.0645345479891753,0.2567740443695466,0.2674480800204259
W5,-0.0501409456777564,0.5661967696665385,0.0978580290876702,0.5229776095287126,0.3604598338007193,0.1231191205650315,0.0312650202459,0.6369256179573414,0.442665290995025
W6,0.0188330965502039,0.6123542210909801,0.0184074096094584,0.5244832945014484,0.4377718201305193,0.1922121939808094,0.1552360788584739,0.6529720296320923,0.1174487539860057
W7,0.19594102792831,0.2623792599546929,0.3182026203374523,0.5124407809738885,0.3405743668706202,0.3337063279378979,-0.0454200845789975,0.4051458493931537,N/A
W8,-0.074652571004392,0.3831500982782905,0.4875445042087768,0.2318092244514504,0.2517796541094839,0.1502817948103946,0.0154067552190795,0.3356138589411969,N/A
W9,-0.0253409482479592,0.5035407348149664,0.5375891819638506,0.470873674038403,0.4284403572271121,0.1376597277915416,0.1480717188952765,N/A,N/A
W10,0.0156257788881507,0.4556192241064407,0.3724517843964149,-0.0054754371501359,0.5828089882746991,N/A,N/A,N/A,N/A
W11,-0.0723019447646025,0.4499643523804115,0.2252927354898399,0.2922545716025194,0.1877613112073578,N/A,N/A,N/A,N/A
W12,0.0263205318088616,0.4786425140038655,0.2445798974658593,0.3454613688729296,N/A,N/A,N/A,N/A,N/A
W13,0.0733805920908491,0.5645543465160717,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Median,0.016,0.456,0.43,0.469,0.36,0.181,0.015,0.632,0.315
IQR,0.076,0.123,0.263,0.183,0.18,0.07,0.08,0.25,0.265
