system,workload,local_optima_ratio,quality,max_basin,min_basin,hamming_r
x264,Johnny_1280x720_60_short,0.27979441053646,0.04855216602610337,353,0,2
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short,0.25505942820430455,0.03680714979608694,289,0,2
x264,blue_sky_1080p25_short,0.2695149373594603,0.06240803771392439,460,0,2
x264,pedestrian_area_1080p25_short,0.2659813684548667,0.0479574731351229,410,0,2
x264,riverbed_1080p25_short,0.2653389013813042,0.053881962878529394,356,0,2
x264,sd_bridge_close_cif_short,0.39318984902023774,0.0933188658376141,286,0,2
x264,sd_city_4cif_short,0.29328621908127206,0.1110884449002013,462,0,2
x264,sd_crew_cif_short,0.38323160938001927,0.09971587686918354,325,0,2
x264,sintel_trailer_2k_720p24_short,0.34853838740764537,0.10141401249750494,331,0,2
