Option,RSD (%)
LZP,0.892
ROLZX,122.381
RANK,7.569
TEXT,174.854
skip,20.143
BWTS,2.501
LZ,4.160
MTFT,13.865
SRT,11.023
X86,6.568
checksum,2.941
RLT,2.447
BWT,15.366
ZRLT,2.067
ROLZ,9.614
jobs,184.739
blocksize,42.455
entropyType,42.198
