system,workload,num_global_optima,global_optimum_perfs,total_basin_size,global_basin_ratio
x264,Johnny_1280x720_60_short,1,0.69,6,0.0019274012206874397
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short,1,2.86,11,0.0035335689045936395
x264,blue_sky_1080p25_short,1,1.03,11,0.0035335689045936395
x264,pedestrian_area_1080p25_short,2,1.31,21,0.006745904272406039
x264,riverbed_1080p25_short,2,2.73,7,0.0022486347574686796
x264,sd_bridge_close_cif_short,3,0.07,2,0.00064246707356248
x264,sd_city_4cif_short,1,0.45,6,0.0019274012206874397
x264,sd_crew_cif_short,11,0.11,359,0.11532283970446515
x264,sintel_trailer_2k_720p24_short,3,0.19,2,0.00064246707356248
