Workload,Spearman_Correlation
ambivert,0.16940002893609246
artificl,0.7999999999999999
deepfield,0.14013100282698018
enwik8,0.030046462053989236
fannie_mae_500k,0.12737356914084366
large,0.14003803110879764
misc,0.6816379718259176
silesia,0.031867195620368625
uiq2-4,0.17084022581789093
uiq2-8,0.08464106446986386
uiq2-16,0.027530150709751615
uiq-32,0.08446480077803109
vmlinux-5,0.0622378259335082
