system,workload,local_optima_ratio,quality,max_basin,min_basin,hamming_r
batlik,corona,0.016675351745700884,0.7542721070579057,216,14,1
batlik,cranium,0.009379885356956748,0.9056465595321272,230,29,1
batlik,cubus,0.009900990099009901,0.7879900845105589,367,19,1
batlik,flame,0.010943199583116207,0.8902353024727968,217,23,1
batlik,france,0.011464304325169358,0.8790823841080272,283,17,1
batlik,frisco,0.015633142261594582,0.8257089697192749,210,16,1
batlik,jelly,0.007816571130797291,0.9641290212320517,299,35,1
batlik,karte,0.011985409067222511,0.8570012046671289,237,13,1
batlik,mandelbrot,0.021886399166232414,0.767341876037528,149,14,1
batlik,strawberry,0.011464304325169358,0.9001114104378801,315,32,1
batlik,village,0.007295466388744137,0.9642563639442343,344,35,1
