system,workload,anyScriptOrigin_1,anyScriptOrigin_0,validate_1,validate_0,onload_1,onload_0,dpi_100,dpi_400,dpi_50,dpi_200,resolution_8294400,resolution_307200,resolution_2073600,quality_0.9,quality_0.1,indexed_8,indexed_2,indexed_1,indexed_4,mimeType_1,mimeType_2,mimeType_3,mimeType_4
batlik,corona,0.6612603348826763,0.6550742374156852,0.6313931298354368,0.6371179366995546,0.6709315386973067,0.6684756844154052,0.6021324941813588,0.6179337222705873,0.5958625467250653,0.582327008477925,0.6740446069362104,0.6548123778811697,0.6456336746923765,0.6940194668260548,0.6821312033670608,0.5980970994420104,0.610337518634,0.6010389306601305,0.5833975246439639,0.6870471781525835,0.6679224607574403,0.7089357459910092,0.6824484680036388
batlik,cranium,0.7115589851989901,0.720141364029203,0.7028020679042309,0.7176270811868322,0.720096889574896,0.7089106718754717,0.6479952735853601,0.6584879615848056,0.6684659837464546,0.6398626021664406,0.7126881939009354,0.6752712129946611,0.6973348773478986,0.7422763994064115,0.7519595258044615,0.6680779858950852,0.6464113740341899,0.6628320796435045,0.6739714420329602,0.735546890051167,0.629150023707582,0.7258481222408939,0.7383403307056893
batlik,cubus,0.7812751415802246,0.7790180489500981,0.6803309565399286,0.6870140730753526,0.7685468444229969,0.7688452523081668,0.7259249764488768,0.7337063242047666,0.7212258934193151,0.7249367737014561,0.7684903468905296,0.7906133699916517,0.8048885350099979,0.77073710212009,0.7536490257965718,0.7266712372426496,0.7336233512701421,0.7489540410327803,0.7206218076133971,0.7599923668094335,0.7953646631779876,0.7540694656526223,0.7623473127259962
batlik,flame,0.8081705615352304,0.8183328012937924,0.6800876604531443,0.7031174270287787,0.8065857116651421,0.8102953332973262,0.7612153133066855,0.7921430877994886,0.7733301324217806,0.7738557110983567,0.7982779272752937,0.8100147369945493,0.8143113739167074,0.8150193545360084,0.7957315863809967,0.7759733139730027,0.7726120525802742,0.7742968902742673,0.764506399456352,0.7906817585740339,0.8160685245167781,0.7784187670062593,0.7950738734678622
batlik,france,0.70568657377527,0.7090963289657877,0.7047457903981749,0.7093430304830081,0.7075838561326014,0.7039915675807358,0.6660104860582912,0.6437353092187401,0.6448899923188984,0.6651586453130784,0.7023097649217473,0.6908996887545844,0.6801097358417881,0.6978083283741473,0.7083477093346084,0.6408529669558042,0.6838451297646917,0.6577379117852749,0.6584893331334541,0.6824141809151606,0.41269205014675425,0.7040347526460141,0.7046079494909472
batlik,frisco,0.7066758913826873,0.700239025135537,0.6755245480538796,0.6848242575578429,0.6976562921100377,0.7075635978417429,0.6571736494910776,0.653484013850673,0.6518622597731764,0.6467475712946557,0.7032130029641468,0.6913846608887495,0.6952064821688577,0.6862682286025572,0.6999895460894588,0.6503616447278008,0.644801645963844,0.6727879605192065,0.6685815895940894,0.6914277285527328,0.6992834476962511,0.6870858646424529,0.698525447992292
batlik,jelly,0.6285861706055808,0.6388023530471283,0.6242515722088803,0.6316751323967719,0.6257053269860331,0.6038080384419297,0.5652287155635187,0.5536805633036354,0.5472182265530405,0.5584318189085885,0.6902949686552786,0.6946731261921644,0.7166973481922538,0.7155643764860523,0.7119359119766403,0.5579880558166123,0.5608122528834365,0.5581609054424392,0.5432047468790232,0.7207889650793003,0.6947039258910966,0.7211734878535028,0.7328048034634874
batlik,karte,0.7040139189761528,0.7114025396985515,0.7046662113871025,0.710208933002852,0.7089637885010227,0.7071629860251369,0.651471764236396,0.6552084539306343,0.6521675132156165,0.6409203511652689,0.6808771755270153,0.6969077072019998,0.6726025442232421,0.7191275392828577,0.7052693881131715,0.6376256102792979,0.657548252265339,0.658023978676278,0.644646117994335,0.7151623688753749,0.7434828748810799,0.7444418145941823,0.719920055972483
batlik,mandelbrot,0.6792015232925253,0.6721997861446602,0.6664481933800297,0.6587822245221902,0.6959452565637035,0.6568925621075472,0.612677325989689,0.621703948700762,0.6138072635014574,0.609235565633028,0.6767063862784395,0.6576556805911815,0.6679769533009223,0.6491666888895364,0.6662389847858028,0.5960444229036665,0.6271935061155083,0.6279320062952751,0.627048577612629,0.6649591800198213,0.769479617592659,0.6990695265161311,0.6943865885248244
batlik,strawberry,0.7180143333322546,0.7053371759190273,0.6910795023235397,0.6819938671140644,0.7100509145974062,0.7004652467139235,0.6383519709139633,0.6589053907746918,0.6583556185507504,0.6682995823815313,0.7192386168355296,0.7076358002888441,0.7100010934654608,0.7172911293393199,0.7354653153658415,0.6437921602193626,0.6485806355297158,0.6547549758740512,0.6500057997243975,0.730165119464215,0.7149925555177087,0.7346624650621717,0.7365857112720521
batlik,village,0.6144942130890604,0.6227519463947309,0.6125647795966748,0.6079028334884312,0.5762333715500464,0.6285452891993387,0.5378056548620991,0.5413745182209546,0.5549405283070385,0.5356677093409081,0.6883361259937333,0.7059312039047102,0.6833656503929705,0.7267785821566671,0.7447354655214283,0.5471538548152146,0.519877766539309,0.5364306671285518,0.5553770503096782,0.7414251835360222,0.7038320407510067,0.709526025732935,0.7405196324851666
