Option,RSD (%)
OPTIMIZE_IN_SELECT,4.198
OPTIMIZE_INSERT_FROM_SELECT,7.999
OPTIMIZE_TWO_EQUALS,0.955
OPTIMIZE_IN_LIST,1.890
OPTIMIZE_EVALUATABLE_SUBQUERIES,3.548
PAGE_STORE_TRIM,46.436
RECOMPILE_ALWAYS,17.853
COMPRESS,7.454
IGNORE_CATALOGS,3.807
OPTIMIZE_OR,2.382
PAGE_STORE_INTERNAL_COUNT,77.501
REUSE_SPACE,2.525
DROP_RESTRICT,16.022
DEFRAG_ALWAYS,3.622
OPTIMIZE_DISTINCT,6.739
MVSTORE,22.749
