system,workload,autocorrelation
h2,smallbank-1,0.7953018049102702
h2,smallbank-10,0.8356638225294978
h2,tpcc-2,0.8083443020410603
h2,tpcc-8,0.12918779281021056
h2,voter-16,0.8685801583191891
h2,voter-2,0.8306876917136474
h2,ycsb-2400,0.5858703697711833
h2,ycsb-600,0.6811915224445977
