system,workload,FDC
batlik,corona,0.3190797277256986
batlik,cranium,0.2800089783645006
batlik,cubus,0.5204418702995793
batlik,flame,0.5503914787450347
batlik,france,0.36045983380071933
batlik,frisco,0.4377718201305193
batlik,jelly,0.34057436687062026
batlik,karte,0.25177965410948394
batlik,mandelbrot,0.42844035722711216
batlik,strawberry,0.5828089882746991
batlik,village,0.18776131120735784
