Option,RSD (%)
iosCreateImagesetFolders,8.857
androidMipmapInsteadOfDrawable,1.041
scaleIsHeightDp,0.225
antiAliasing,0.294
skipUpscaling,0.467
androidIncludeLdpiTvdpi,0.395
threads,0.578
outputCompressionMode,2.010
roundingStrategy,3.971
platform,33.324
