system,workload,iosCreateImagesetFolders_0,iosCreateImagesetFolders_1,androidMipmapInsteadOfDrawable_0,androidMipmapInsteadOfDrawable_1,scaleIsHeightDp_0,scaleIsHeightDp_1,antiAliasing_0,antiAliasing_1,skipUpscaling_0,skipUpscaling_1,androidIncludeLdpiTvdpi_0,androidIncludeLdpiTvdpi_1,threads_90,threads_10,outputCompressionMode_3,outputCompressionMode_4,outputCompressionMode_1,outputCompressionMode_2,roundingStrategy_2,roundingStrategy_3,roundingStrategy_1,platform_3,platform_1,platform_2,platform_4
dconvert,jpeg-large,0.639752038257287,0.6573598118626208,0.6919409609865673,0.6977974328481115,0.7703123235829753,0.76787956963335,0.767320325536717,0.7760138822752465,0.7739052664120564,0.7789795208103973,0.70372439516339,0.7021153643826274,0.8538037407842965,0.7675101014680199,0.7964121075805336,0.7662533893321333,0.7897366100107658,0.7551023713134521,0.7369540651790225,0.7345533623703121,0.7413744154031344,0.5881126330133332,0.6319513355233816,0.6357248569364335,0.6319804732364984
dconvert,jpeg-medium,0.5939012711834731,0.6189210463465146,0.6844733527759939,0.6902761100065762,0.763135779928556,0.7742579172185124,0.76332850882582,0.7791290372140487,0.7772384124584432,0.7796173490641146,0.6669193295883871,0.6959489064563056,0.845742450301141,0.7691355385126695,0.7971376844138844,0.7602569739171893,0.7870876414926516,0.75421203761961,0.7530816006994752,0.743729701554332,0.7214725706339719,0.5649935234971637,0.6002364775611586,0.6116416426635028,0.6215283401446627
dconvert,jpeg-small,0.25405821448272936,0.2449827880670323,0.3041193612135033,0.37063061754102294,0.38877083480410923,0.4380006054795894,0.42662418531340274,0.4353250607835041,0.42503201898223525,0.4499517542710951,0.3258471755904097,0.05220762880309332,0.47209450226917987,0.30612667011188754,0.4164549534582409,0.36326583561044584,0.37420167635378637,0.4954968264649303,0.15533705694916977,0.48005513024978735,0.5142799871141259,0.14690328279934714,0.2638425359503275,0.20957675461163475,0.2820011647869473
dconvert,png-large,0.6449437162751146,0.6049942822230027,0.7078819027340773,0.6793786251970114,0.7750326838751127,0.7520552684083778,0.7733779704751971,0.765397222150904,0.7764031662614386,0.7688443108652355,0.6966326367646518,0.6735988576076882,0.8270084724477289,0.756498289661098,0.7932194710093241,0.7676084632373265,0.7282733704353,0.7641829927447308,0.7392315812435335,0.7418970615059866,0.7293363157539425,0.5004392234882878,0.6625336077746686,0.6288148241719553,0.6360807408924224
dconvert,png-medium,0.5799744188547973,0.5603557981679321,0.6769250194863587,0.6696423503744048,0.750201157809336,0.7537567205211683,0.7521948635853541,0.7481109818191083,0.7494648393424461,0.7516608323287967,0.6763028083133291,0.6723293636411878,0.7304259838591295,0.7198670476306319,0.7173249620434798,0.7470094715132687,0.702822491470306,0.7330813587334922,0.6997801461617396,0.7200570059746108,0.7330051440430007,0.5356674586536156,0.6604874861319469,0.6197510244771369,0.5821776539048191
dconvert,png-small,0.14411733887906186,0.1724142231038196,0.40302773442067863,0.4844727232476373,0.4538833530856563,0.6148369282707801,0.4811023804479289,0.5998664560147116,0.47532148181381295,0.6050123126035704,0.2553620699394978,0.12079864786858613,0.5327968775085367,0.49931547353157113,0.4776336101470839,0.4902343416368657,0.4440801440961489,0.6059709423379712,0.4911678748332258,0.5177895243228304,0.5616158705750498,0.11630099584329685,0.14211661227475852,0.11550763845405165,-0.012233031713445346
dconvert,psd-large,0.02381630207693182,0.01841474821361378,0.780398126239752,0.777194126402439,0.885860897394031,0.8855688863181741,0.8868528882464533,0.8855092450434301,0.8894580489602918,0.8904616724099462,0.09113304470151884,0.04518094259652677,0.8740304893784706,0.8698450299781424,0.8576849741468631,0.859097258786788,0.8594973537527677,0.8575228089276848,0.8622176438875716,0.8628240012806802,0.8620512954470448,0.013343773812239989,0.10262080673688835,0.009071599869065996,0.09030675406445604
dconvert,psd-medium,0.28069898104855706,0.26238756503419736,0.6758353523575419,0.6543182030236325,0.7478861966669824,0.7602629092882813,0.7547279702317702,0.766469373388657,0.7577140326135693,0.7581567116253896,0.5862544939940614,0.688501667869201,0.7512078204596089,0.7819326407862321,0.7410298143396928,0.7578474522099173,0.7413673514880478,0.7506162881289327,0.7216348425131818,0.7289549644002142,0.7225810857326468,0.05422305455249547,0.5514900407147367,0.3233471345265928,0.3097538173529778
dconvert,psd-small,0.32528136184526163,0.2221195658436013,0.4444126053280098,0.39279887933218016,0.5522944657122194,0.5571594634035012,0.5472187964370244,0.5411280748330417,0.5698833011812489,0.5707751951816087,0.38314562815564135,0.28944299934115975,0.5106709030347,0.5288467355626866,0.49250279069599784,0.5401456669164483,0.5599960342714714,0.6245784863128692,0.5480563240385158,0.527525552591004,0.5372567003362534,0.20646089070611726,0.39654236758201905,0.32527736549772523,0.12359267937107402
dconvert,svg-large,-0.015407493360772358,0.0029828775354373374,0.03416823304971193,0.0202259369430941,-0.003216348449117352,0.007478073020400714,0.004950410288780848,0.00034487082146161444,0.01910436809111997,0.007766299507538511,0.004975657942408071,0.0036431463162960435,0.027290263285369057,0.0030748453904819333,0.015565922929794503,0.031894081390573356,0.028904213668423356,-0.01509461348087264,0.05033740582127629,0.01305392492629422,-0.004409509950521916,-0.004832531982807756,0.022645067256731717,-0.02394279543416614,0.013202126644075128
dconvert,svg-medium,0.062158394287572846,0.05911243831911278,0.11120843464392552,0.07932517672301012,0.3250277621266093,0.30443089105671833,0.3301959715427045,0.2985743155818513,0.30411176344557983,0.32384134571610795,0.07074329743767077,0.03858967772452407,0.3166160631658636,0.37834975500766516,0.2928627987543646,0.3938065557273624,0.29483410592135784,0.28115655430327213,0.3216704084703923,0.3138440234665572,0.3394702145314375,0.047539722090912936,0.014815574859516229,0.09172439237425288,0.032521041364627176
dconvert,svg-small,0.560966050274202,0.5609417899092725,0.6679123348995245,0.661745898337391,0.6570693389878185,0.6465834485088526,0.6469529674702112,0.6592865269964349,0.6459612035849811,0.6568457032240793,0.6197352617216483,0.7170954904032174,0.5177410457425633,0.3310572653446234,0.5885423058664173,0.5926604982826874,0.5895226381271951,0.6263788175913958,0.6874579871265383,0.685580808398374,0.5613668469812313,0.46253741973774226,0.6155924308089267,0.5448226000966573,0.5797651062109309
