Option,RSD (%)
MemoryLimit,35.536
Nice,18.388
Depth,6.969
Dict,11.669
Dist,17.679
Multithreading,1.709
BlockSize,8.545
FlushTimeout,8.994
PositionBits,3.045
check,23.526
mfs,23.900
