Option,RSD (%)
NoRes,1.375
Downmix,1.347
Freeformat,9.097
Stereo,3.021
CRC,5.853
SwapBytes,8.413
Resampling,21.394
CBR,12.389
VBRRange,13.768
MPEGMode,8.087
